Block,Percent.S,Bias,Phoneme,Type,Center.Gravity.Hz,Skewnes,Kurtosis,SD.Hz
Test (Drouin et al. 2016),30,,,,4156,0.8713,0.0466,2117
Test (Drouin et al. 2016),40,,,,4672,0.4974,-0.7817,2415
Test (Drouin et al. 2016),50,,,,5384,0.0462,-1.1473,2581
Test (Drouin et al. 2016),60,,,,6131,-0.451,-0.7941,2553
Test (Drouin et al. 2016),70,,,,6740,-0.9201,0.3283,2359
Test (Drouin et al. 2016),80,,,,7025,-1.316,1.7551,2273
Exposure,,sh-bias,sh,Modified,4968,0.594,-0.8242,2177
Exposure,,sh-bias,sh,Modified,4066,1.0513,1.5094,1897
Exposure,,sh-bias,sh,Modified,3740,1.0831,0.8294,2175
Exposure,,sh-bias,sh,Modified,4633,0.4051,-0.7374,2428
Exposure,,sh-bias,sh,Modified,4173,0.6876,-0.0454,2097
Exposure,,sh-bias,sh,Modified,4497,0.6646,-0.5866,2518
Exposure,,sh-bias,sh,Modified,4578,0.3865,-0.4998,2392
Exposure,,sh-bias,sh,Modified,3874,0.7273,0.4589,2152
Exposure,,sh-bias,sh,Modified,4140,0.6381,-0.1481,2476
Exposure,,sh-bias,sh,Modified,4277,0.836,0.3762,2133
Exposure,,sh-bias,sh,Modified,4873,0.4502,-0.85,2291
Exposure,,sh-bias,sh,Modified,4619,0.4437,-0.6126,2527
Exposure,,sh-bias,sh,Modified,4178,1.0906,0.8566,2109
Exposure,,sh-bias,sh,Modified,4607,0.5188,-0.6212,2505
Exposure,,sh-bias,sh,Modified,4509,0.294,-0.3944,2269
Exposure,,sh-bias,sh,Modified,4222,0.8529,0.1985,2133
Exposure,,sh-bias,sh,Modified,3184,0.666,0.7999,2162
Exposure,,sh-bias,sh,Modified,4182,0.5223,0.1514,2175
Exposure,,sh-bias,sh,Modified,4782,0.1744,-0.9378,2757
Exposure,,sh-bias,sh,Modified,4486,0.2991,-0.6769,2665
Exposure,,sh-bias,s,Natural,6730,-1.8242,5.3282,1924
Exposure,,sh-bias,s,Natural,6585,-1.2747,0.7328,2850
Exposure,,sh-bias,s,Natural,6540,-1.3477,1.3968,2609
Exposure,,sh-bias,s,Natural,6378,-1.2098,2.3416,2180
Exposure,,sh-bias,s,Natural,5568,-0.9395,1.253,2349
Exposure,,sh-bias,s,Natural,7269,-2.8697,7.5834,2008
Exposure,,sh-bias,s,Natural,5641,-1.2974,1.6563,2289
Exposure,,sh-bias,s,Natural,5297,-0.7946,-0.3741,2851
Exposure,,sh-bias,s,Natural,6420,-1.1844,1.8327,2343
Exposure,,sh-bias,s,Natural,6500,-1.2689,0.5074,2983
Exposure,,sh-bias,s,Natural,6582,-1.5511,2.5763,2341
Exposure,,sh-bias,s,Natural,7333,-1.9848,4.0406,2250
Exposure,,sh-bias,s,Natural,7464,-2.8855,10.5945,1658
Exposure,,sh-bias,s,Natural,6460,-1.2507,1.0254,2647
Exposure,,sh-bias,s,Natural,6745,-1.4377,1.4233,2641
Exposure,,sh-bias,s,Natural,4716,-0.2623,-1.0377,3201
Exposure,,sh-bias,s,Natural,6946,-1.5751,2.9601,2332
Exposure,,sh-bias,s,Natural,4949,-0.3361,-1.6083,3763
Exposure,,sh-bias,s,Natural,5605,-0.4303,0.0643,2586
Exposure,,sh-bias,s,Natural,7331,-2.1046,4.4766,2269
Exposure,,s-bias,sh,Natural,3605,1.9578,8.821,1059
Exposure,,s-bias,sh,Natural,3379,1.1976,13.6369,1011
Exposure,,s-bias,sh,Natural,3265,1.4477,2.6246,1637
Exposure,,s-bias,sh,Natural,3228,1.2883,3.4219,1514
Exposure,,s-bias,sh,Natural,3098,1.6524,4.6585,1532
Exposure,,s-bias,sh,Natural,2925,1.4008,2.2485,2007
Exposure,,s-bias,sh,Natural,3524,0.5571,4.4527,1331
Exposure,,s-bias,sh,Natural,3324,1.758,6.708,1326
Exposure,,s-bias,sh,Natural,3246,1.4275,5.021,1448
Exposure,,s-bias,sh,Natural,3583,1.6133,5.654,1357
Exposure,,s-bias,sh,Natural,3489,0.9427,4.5516,1362
Exposure,,s-bias,sh,Natural,3664,1.3675,3.9192,1554
Exposure,,s-bias,sh,Natural,3436,1.011,6.3613,1203
Exposure,,s-bias,sh,Natural,3333,1.7258,8.4379,1185
Exposure,,s-bias,sh,Natural,3332,1.8876,13.6797,1040
Exposure,,s-bias,sh,Natural,3349,1.4464,5.8746,1359
Exposure,,s-bias,sh,Natural,2712,0.158,2.8289,1454
Exposure,,s-bias,sh,Natural,3428,1.0624,2.6715,1647
Exposure,,s-bias,sh,Natural,3101,1.3415,5,1355
Exposure,,s-bias,sh,Natural,3588,0.7483,4.6039,1401
Exposure,,s-bias,s,Modified,4367,0.3792,-0.4902,2345
Exposure,,s-bias,s,Modified,4755,0.5825,-0.6858,2448
Exposure,,s-bias,s,Modified,4390,0.4291,-0.5562,2536
Exposure,,s-bias,s,Modified,4358,0.4953,0.0782,2245
Exposure,,s-bias,s,Modified,3879,0.495,0.7538,2053
Exposure,,s-bias,s,Modified,5252,-0.2948,-1.1648,2719
Exposure,,s-bias,s,Modified,3787,0.4495,0.4797,2023
Exposure,,s-bias,s,Modified,3823,0.7161,0.5431,2056
Exposure,,s-bias,s,Modified,4245,1.4587,1.8807,1772
Exposure,,s-bias,s,Modified,3492,2.9911,15.6048,1081
Exposure,,s-bias,s,Modified,4306,0.7427,0.2692,2092
Exposure,,s-bias,s,Modified,4525,0.5456,-0.1761,2389
Exposure,,s-bias,s,Modified,4649,0.954,-0.521,2098
Exposure,,s-bias,s,Modified,4059,1.0171,0.9677,1981
Exposure,,s-bias,s,Modified,4116,1.2955,1.8261,1866
Exposure,,s-bias,s,Modified,3412,1.104,1.4786,2085
Exposure,,s-bias,s,Modified,4126,1.0881,1.41,1960
Exposure,,s-bias,s,Modified,3820,1.475,2.3404,1883
Exposure,,s-bias,s,Modified,3647,1.349,1.5209,2042
Exposure,,s-bias,s,Modified,4192,1.1231,1.231,1943
Test (Saltzman & Myers 2018/2020),20,,,,5200.264818,1.070502995,0.850927035,3565.928951
Test (Saltzman & Myers 2018/2020),30,,,,5626.275621,0.470485022,0.652046892,3864.686311
Test (Saltzman & Myers 2018/2020),40,,,,6188.829422,0.028005353,0.396015903,3937.266541
Test (Saltzman & Myers 2018/2020),50,,,,6952.483959,0.026076197,0.176562289,3800.660785
Test (Saltzman & Myers 2018/2020),60,,,,7460.040736,0.173912833,0.005678075,3701.880193
Test (Saltzman & Myers 2018/2020),70,,,,7936.779686,0.569419442,-0.095202607,3549.047861
Test (Saltzman & Myers 2018/2020),80,,,,8319.672617,1.092029403,-0.132864113,3391.372586
